model,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std
LogisticRegression,0.7412556804709907,0.0018222114944032696,0.7846654632635321,0.0017306265982520261
ExtraTrees,0.7813347649493497,0.0011227562035280773,0.7702438217473648,0.0012710115165100026
XGBoost,0.8036761297662498,0.0019445124490395903,0.7958501573827832,0.0022873365763735483
LightGBM,0.8039992053478773,0.0017564897395794317,0.7965930011381488,0.001975665477205101
LogReg+SMOTE,0.7425236874694908,0.001958498525299967,0.7849804313548284,0.0019052104010893335
